Index,monetary,emissions,indipendence,PM_emissions
0,58414831.04000001,271533438.7,46239640.0,22635668.2
1,124911429.84700002,102514319.09,20677772.0,333988.3546
2,125068836.13700002,102153660.503,20729162.0,276354.35850000003
3,124332783.56,105909926.97,20317085.0,2534884.7
4,124023531.34,102773021.295,20719233.0,379367.203
5,138676233.07999998,88957467.93,17856135.0,165419629.92
6,112930506.388,106181728.418,21617646.0,234420.6172
7,123859112.4,130650191.1,18498317.0,18970793.0363
8,109840594.57,107785921.579,21726256.0,417668.322
9,125662947.115,103263874.207,20535008.0,920820.193
10,124455843.673,102283292.8115,20815970.0,188358.4026
11,123949872.82000002,106467564.06,20274465.0,3000610.43
12,102699321.5,110732862.522,22341880.0,612576.292
13,126240039.773,102041729.2418,20673355.0,148630.0842
14,136806830.45999998,89257708.49,18007342.0,159678522.439
15,125619436.85800004,144932877.0,17672385.0,28292199.302
16,121624042.23,110615722.6,20083107.0,5306433.359999999
17,126155200.098,102733253.468,20584005.0,537430.484
18,125085780.92,101723265.13,20737136.0,1552849.144
19,124778054.12,103962727.5,20501953.0,1255356.432
20,101769330.537,110972595.884,22603710.0,296823.1916
21,126103260.222,101986437.9393,20687286.0,159534.0672
22,125525122.975,102069877.901,20707361.0,214648.43380000003
23,127446773.20000002,150700242.0,17061049.0,50548249.7
24,93731517.95,115880207.988,23353875.0,683664.474
25,137786263.54000002,89245137.4,17739035.0,177732275.12
26,126100102.36200002,101904686.7793,20702765.0,156419.92719999998
27,124811981.43,124705792.8,18819428.0,15240389.6
28,109529691.78,108697334.772,21577732.0,1239819.772
29,126145591.723,102193487.4843,20654904.0,217993.8244
30,98388802.67000002,112713569.049,22954116.0,361501.579
31,123183505.66,104357199.29,20592412.0,1189271.361
32,97770038.84000002,113757416.777,22794162.0,754453.827
33,124506007.412,108111067.01,20024433.0,6550174.583000001
34,110592086.483,107102301.891,21835535.0,193717.4243
35,123926442.82,104321672.96,20512056.0,1437028.96
36,102756480.2,109392921.8,22319539.0,5863066.954
37,126235754.633,101992044.4118,20680329.0,145621.0842
38,125068607.43100002,102255670.756,20705736.0,276395.1123
39,124352690.54000002,112128213.0,19759276.0,6715940.300000001
40,89414751.64000002,118913447.688,24038084.0,853416.2
41,125871604.69900002,102101243.4609,20681973.0,177772.6322
42,137569514.94,87997476.03,17910851.0,178147270.15
43,124897636.6,105775402.52,20295974.0,2577348.18
44,124928170.321,102512613.814,20681146.0,302789.2101
45,126172081.377,103218190.003,20518809.0,940640.11
46,121789637.886,103166986.296,20943003.0,272868.1766
47,124874243.15,153632084.0,17332318.0,35679452.9
48,96854147.92000002,114108541.336,22953956.0,597793.2119999999
49,124900487.47,104938182.77,20381115.0,2029954.985
50,125822133.04799998,102022599.3987,20696704.0,181852.3726
51,138775019.27999997,99735180.6,16993697.0,186995294.1
52,124480765.89,102591525.895,20697037.0,386233.16
53,126716432.914,101983431.7186,20662020.0,126543.34941
54,114494528.35,105038818.81,21449233.0,2264724.5530000003
55,124006119.66,105093399.92,20424471.0,1923427.83
56,118431405.06600004,120812147.9,19570558.0,11528633.6035
57,125941888.561,102990662.533,20558777.0,717703.746
58,125680587.15899998,101927738.0033,20733605.0,197070.8121
59,125399316.65200002,102476474.303,20659035.0,286182.5949
60,88939667.79,119349103.874,24336414.0,496267.196
61,133747207.40700002,92255602.145,18533148.0,117913500.465
62,124449911.113,102424884.176,20745813.0,268494.0804
63,125186854.80999996,152858649.0,17388589.0,33147909.249
64,109567446.05,108500148.527,21640751.0,821670.599
65,124671059.63,111679855.1,19773532.0,6582913.81
66,124431447.107,102289427.702,20800712.0,220757.8817
67,136652278.66,99260143.0,17369427.0,159221300.18
68,92852733.9,116216635.622,23674969.0,444574.204
69,126294196.337,101909850.209,20690665.0,140658.1106
70,124784281.97000004,101909573.9374,20722297.0,1567275.92901
71,123916457.96,113644494.9,19657914.0,7699559.2
72,98762825.5,113845060.84,22514519.0,1584151.6549999998
73,125870317.352,102238345.413,20661775.0,229357.0582
74,125932631.187,101962240.3787,20701343.0,171257.4973
75,125635619.92599998,104042847.98,20451606.0,1384822.869
76,121422153.11,103656400.492,20867373.0,471554.883
77,137437258.86,89660546.6,17704824.0,180712937.2
78,107137848.67599998,108482246.296,22093286.0,272868.1766
79,124420543.47,146165162.0,17676390.0,29006145.595
80,89349773.16,119163181.459,24111512.0,637557.3
81,126194052.179,100149920.334,20167791.0,22733801.032
82,126093988.449,101894385.9242,20705542.0,156947.293
83,124424328.52,116891085.1,19379714.0,9983217.5
84,137690696.45999998,89145853.3,17762924.0,176564746.54
85,126662157.11399998,102302861.0413,20617002.0,332596.96709999995
86,125092129.576,102145356.296,20728904.0,272868.1766
87,124422169.82,105296363.23,20376721.0,2113226.33
88,106997582.87,109814827.378,21778521.0,1241195.951
89,126120502.60700002,102227158.6157,20653095.0,215535.9385
90,121438746.182,102411465.443,20909846.0,4359043.586
91,124863568.244,102688484.004,20656834.0,417850.639
92,102584177.33,110706245.125,22455363.0,336124.046
93,125899062.082,102156826.952,20671471.0,202252.1513
94,125200445.27599998,102299449.166,20690464.0,258417.4345
95,124940060.75,154172258.0,17345363.0,34649431.3
96,83612817.68,125002143.13,24951025.0,1503808.929
97,125693548.879,102269032.0733,20669231.0,212752.7621
98,124950534.684,101160766.971,20534916.0,9188069.557
99,124409934.49,111982302.4,19764816.0,6669073.300000001
100,115714181.605,105335421.225,21330006.0,311011.5868
101,126182634.18,101662626.03,20590947.0,3541015.771
102,102445051.719,110639207.845,22546948.0,281894.47740000003
103,137850075.62,99685335.6,17016747.0,192074898.8
104,123390994.91,103495406.063,20670947.0,727974.191
105,138763985.43,90711171.6,17591362.0,174777427.8
106,126080600.62800002,101826866.0081,20727539.0,158581.6319
107,124454204.29,105987108.79,20294938.0,2703839.15
108,94154822.56,115281334.794,23379785.0,624732.635
109,126105262.05,102007799.5681,20684068.0,156411.1939
110,124997081.501,102264964.427,20709601.0,287434.6268
111,124165186.8,108199417.5,20110279.0,4032583.08
112,104314362.97,155837192.0,18998479.0,30765654.99
113,125581113.333,103563892.303,20504664.0,1094277.929
114,121512470.944,103213467.667,20984266.0,256278.08
115,124928791.69,102707409.745,20654819.0,394237.332
116,113967534.036,105915266.804,21469149.0,308072.3665
117,126401934.0508,100950290.8563,20431584.0,10453423.59471
118,125865085.47399998,102074438.9483,20686036.0,178049.14690000002
119,125260633.37,137719092.0,18037746.0,23662896.6
120,73304905.92,138411394.219,28348365.0,488210.203
121,125199159.38199998,102362515.09,20680385.0,283087.8374
122,125854275.447,101911206.7857,20719905.0,178682.6747
123,124499646.25,126482127.9,18716978.0,16408791.4
124,122580625.32000002,105350536.1,20510504.0,1937750.618
125,126335029.80200002,102314710.3668,20630367.0,289118.6929
126,110151714.806,104559480.795,21203831.0,31629018.618
127,124056988.225,134172012.0,18292665.0,21177317.1932
128,99508753.08,136910930.2,20529757.0,17177371.768
129,125620511.342,102964923.434,20577938.0,657960.625
130,119628619.46,97368656.105,19724491.0,98726977.116
131,123976448.54,105101329.61,20422466.0,1957032.24
132,109151943.9,107769227.574,21857400.0,302920.5306
133,126108629.917,102091014.5557,20670356.0,186584.4385
134,125525515.806,102183095.477,20688303.0,215403.8683
135,125877706.71,153062148.0,17231083.0,39462011.8
136,76748827.99000001,133222854.481,27295229.0,518579.907
137,125123757.797,102379575.629,20681135.0,311843.3231
138,126183248.2,101821135.2558,20719032.0,149633.467
139,124666739.74000002,105906140.29,20293707.0,2645157.9
140,122511407.45,107302875.59,20285002.0,4078543.22
141,126292863.537,102372069.998,20622578.0,345004.5247
142,111616955.36,106685428.249,21669424.0,346174.315
143,123805466.00000004,106203516.74,20326683.0,2613538.46
144,91232772.938,119288529.58,23303698.0,2364323.6581
145,125692812.912,102306256.558,20662168.0,246337.1998
146,125743774.642,102014765.9877,20703042.0,189689.6653
147,125256257.18,104468585.99,20422874.0,1628429.46
148,124014938.94799998,102615198.472,20749112.0,329054.6389
149,138746089.66,88239076.98,17836417.0,172824926.64
150,110531648.255,107108037.901,21827758.0,214648.43380000003
151,123162887.65,112663763.7,19774984.0,7048840.97
152,123962138.44,103369499.675,20639645.0,699161.718
153,125015014.06,110156937.4,19887616.0,5610310.34
154,125746734.672,101921415.9877,20727502.0,189689.6653
155,137455284.57000002,96603663.3,17169070.0,194079043.94
156,95596592.92,114420664.347,23170979.0,580309.9079999999
157,126171016.45000002,102026654.7045,20678383.0,151121.0889
158,124243666.17,101901877.29,20667853.0,3913841.529
159,124895952.093,137392389.0,18075186.0,23345921.2629
160,70345942.56999998,143252735.39200002,29280756.0,526043.527
161,125106018.559,102490296.12,20667751.0,336811.2143
162,125764193.43,101964479.9979,20712884.0,187555.1564
163,124630761.8,132696321.9,18335660.0,20450585.2
164,124309113.70999998,102864625.138,20669319.0,514489.978
165,126748405.851,102036964.7976,20653339.0,147392.84999999998
166,123010562.43,102021200.146,20803551.0,3681000.92
167,123765272.01999998,110073353.1,19959642.0,5315318.91
168,106047458.191,108698998.85,21640834.0,15479552.973
169,125925684.312,102300993.394,20649284.0,275445.0281
170,119491046.97,103644371.37,21148461.0,921411.21
171,125208016.082,102366108.73,20682268.0,259023.7976
172,100261560.21,111772265.397,22700564.0,378258.01
173,126818000.505,99577979.4943,20080958.0,27072231.3515
174,125610378.884,102102565.363,20695753.0,204796.5804
175,125501441.212,144459226.0,17696657.0,28016508.3851
176,113551331.38,108938334.32,21074460.0,2278184.89
177,137776432.01,94389924.98,17309962.0,185455073.95
178,125228151.315,102052800.2989,20763278.0,192407.098
179,123703484.29999998,113523060.1,19670645.0,7725322.3
180,95864579.87,114160653.452,23194141.0,522834.669
181,126237380.44099998,101916428.7041,20692416.0,145095.1496
182,125132102.899,102162397.848,20719894.0,266910.877
183,124550870.03000002,105183609.6,20383373.0,2033133.05
184,98312821.19,113299596.017,22728064.0,800334.674
185,126110255.216,102151442.1769,20665022.0,171778.9634
186,125355397.29000002,101697749.872,20686755.0,2125466.981
187,124866512.70000002,107927419.18,20095616.0,3989117.05
188,119252880.01,104331115.397,21036243.0,378258.01
189,125805819.45800002,103297010.095,20524082.0,968902.753
190,105264379.875,109303211.225,22245184.0,311011.5868
191,123249827.12,159914004.0,17186429.0,45763221.6
192,91393755.57000002,118003394.269,23582159.0,1021077.476
193,136147196.2,92441671.5,17910289.0,148556047.8
194,125865107.78900002,102011439.9409,20696152.0,177658.7322
195,125314348.57,138250041.0,18006109.0,24051396.3
196,122756542.39,103321389.429,20754505.0,597892.412
197,126458916.418,102048979.1393,20662429.0,153361.113
198,108561696.847,107869540.093,21955543.0,294082.0477
199,124352486.88,103184649.922,20637171.0,596270.134
200,119119700.21,105573128.99,20849770.0,1292147.148
201,126293107.118,102243879.9894,20642939.0,234104.3188
202,124620228.393,101655838.671,20747634.0,2580266.6440000003
203,125088996.815,102704970.082,20640458.0,441544.749
204,89193919.53000002,119267536.098,24394587.0,381194.711
205,125678066.75900002,102096055.1433,20692546.0,200799.5021
206,124312736.312,102428838.934,20756382.0,289260.574
207,124912596.98,158154443.0,16981124.0,57894314.0
208,103968023.88,110411449.033,22216292.0,514723.526
209,125211619.71,104374011.88,20427643.0,1658691.1630000002
210,116279910.615,104975565.373,21379908.0,204796.5805
211,123529522.77,111102210.4,19814975.0,8671825.649999999
212,109606700.32,107547037.007,21785727.0,442989.211
213,126451699.16099998,101939714.4323,20678651.0,129472.2596
214,137197354.6819,88175880.94588299,17896800.0,180834913.938679
215,124780199.83,128166268.7,18603553.0,17428724.2
216,87976933.05669999,120916319.08,23962473.0,1927262.90133
217,125629931.688,102233079.626,20675193.0,221380.0327
218,125711617.02800004,101976270.9747,20714197.0,193062.1777
219,125284618.29,103802915.68,20494003.0,1193715.4319999998
220,124418769.9,102830827.672,20672337.0,442817.191
221,132484874.53,95294043.5,18762711.0,93372446.52
222,121917857.861,103161737.863,20938054.0,237544.2791
223,124872732.305,143814755.0,17757117.0,27515407.874
224,114276877.6,158048824.0,18021091.0,34324233.35
225,125373341.91,105099989.83,20345454.0,2139009.76
226,125373345.72800004,102036638.418,20730702.0,234420.6172
227,124961269.3,103196894.349,20589877.0,700723.995
228,98420833.41,112708349.237,22923310.0,389990.698
229,138354821.0,88068488.8,17866230.0,174246215.818
230,125571597.21,102068480.695,20704237.0,209053.9982
231,125536797.635,147164567.0,17575968.0,29767262.345
232,96368337.14,114080789.056,23116124.0,421015.741
233,125585314.52300002,102385205.329,20653318.0,326276.4159
234,126100132.26200002,101888706.7793,20706477.0,156419.92719999998
235,137764209.06000003,96553907.7,17428853.0,160789319.83
