,PUN,AUST,BRNN,BSP,CNOR,COAC,CORS,CSUD,FOGN,FRAN,GREC,MALT,NORD,PRGP,ROSN,SARD,SICI,SLOV,SUD,SVIZ,XAUS,XFRA
2015-01-01 00:00:00,0.05233,0.0511,0.0511,0.0511,0.0511,0.0511,0.0511,0.0511,0.0511,0.0511,0.0511,0,0.0511,0.06592,0.0511,0.0511,0.06592,0.0511,0.0511,0.0511,0,0
2015-01-01 01:00:00,0.04989,0.049,0.049,0.049,0.049,0.049,0.049,0.049,0.049,0.049,0.049,0,0.049,0.05999,0.049,0.049,0.05999,0.049,0.049,0.049,0,0
2015-01-01 02:00:00,0.0391,0.0391,0.0391,0.0391,0.0391,0.0391,0.0391,0.0391,0.0391,0.0391,0.0391,0,0.0391,0.0391,0.0391,0.0391,0.0391,0.0391,0.0391,0.0391,0,0
2015-01-01 03:00:00,0.03587,0.03587,0.03587,0.03587,0.03587,0.03587,0.03587,0.03587,0.03587,0.03587,0.03587,0,0.03587,0.03587,0.03587,0.03587,0.03587,0.03587,0.03587,0.03587,0,0
2015-01-01 04:00:00,0.0334,0.0334,0.0334,0.0334,0.0334,0.0334,0.0334,0.0334,0.0334,0.0334,0.0334,0,0.0334,0.0334,0.0334,0.0334,0.0334,0.0334,0.0334,0.0334,0,0
2015-01-01 05:00:00,0.03647,0.03657,0.03657,0.03657,0.03657,0.03657,0.03657,0.03657,0.03657,0.03657,0.03657,0,0.03657,0.03535,0.03657,0.03657,0.03535,0.03657,0.03657,0.03657,0,0
2015-01-01 06:00:00,0.0391,0.0391,0.0391,0.0391,0.0391,0.0391,0.0391,0.0391,0.0391,0.0391,0.0391,0,0.0391,0.0391,0.0391,0.0391,0.0391,0.0391,0.0391,0.0391,0,0
2015-01-01 07:00:00,0.04452,0.04521,0.04521,0.04521,0.04521,0.04521,0.04521,0.04521,0.04521,0.04521,0.04521,0,0.04521,0.03535,0.04521,0.04521,0.03535,0.04521,0.04521,0.04521,0,0
2015-01-01 08:00:00,0.03843,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0,0.04,0.018,0.04,0.04,0.018,0.04,0.04,0.04,0,0
2015-01-01 09:00:00,0.04038,0.0408,0.0408,0.0408,0.0408,0.0408,0.0408,0.0408,0.0408,0.0408,0.0408,0,0.0408,0.03535,0.0408,0.0408,0.03535,0.0408,0.0408,0.0408,0,0
2015-01-01 10:00:00,0.03853,0.0388,0.0388,0.0388,0.0388,0.0388,0.0388,0.0388,0.0388,0.0388,0.0388,0,0.0388,0.03535,0.0388,0.0388,0.03535,0.0388,0.0388,0.0388,0,0
2015-01-01 11:00:00,0.0388,0.0388,0.0388,0.0388,0.0388,0.0388,0.0388,0.0388,0.0388,0.0388,0.0388,0,0.0388,0.0388,0.0388,0.0388,0.0388,0.0388,0.0388,0.0388,0,0
2015-01-01 12:00:00,0.03885,0.03885,0.03885,0.03885,0.03885,0.03885,0.03885,0.03885,0.03885,0.03885,0.03885,0,0.03885,0.03885,0.03885,0.03885,0.03885,0.03885,0.03885,0.03885,0,0
2015-01-01 13:00:00,0.0388,0.0388,0.0388,0.0388,0.0388,0.0388,0.0388,0.0388,0.0388,0.0388,0.0388,0,0.0388,0.0388,0.0388,0.0388,0.0388,0.0388,0.0388,0.0388,0,0
2015-01-01 14:00:00,0.03885,0.03885,0.03885,0.03885,0.03885,0.03885,0.03885,0.03885,0.03885,0.03885,0.03885,0,0.03885,0.03885,0.03885,0.03885,0.03885,0.03885,0.03885,0.03885,0,0
2015-01-01 15:00:00,0.0511,0.04995,0.04995,0.04995,0.04995,0.04995,0.04995,0.04995,0.04995,0.04995,0.04995,0,0.04995,0.06592,0.04995,0.04995,0.06592,0.04995,0.04995,0.04995,0,0
2015-01-01 16:00:00,0.0555,0.05469,0.05469,0.05469,0.05469,0.05469,0.05469,0.05469,0.05469,0.05469,0.05469,0,0.05469,0.06592,0.05469,0.05469,0.06592,0.05469,0.05469,0.05469,0,0
2015-01-01 17:00:00,0.0622,0.0619,0.0619,0.0619,0.0619,0.0619,0.0619,0.0619,0.0619,0.0619,0.0619,0,0.0619,0.0661,0.0619,0.0619,0.0661,0.0619,0.0619,0.0619,0,0
