,oil,gpl,solid,electricity,total
2015-01-01 00:00:00,-18088.22939,-20803.42504,-19314.11104,-14929.58583,-73135.35131
2015-01-01 01:00:00,-17895.04684,-20568.38493,-18840.20452,-14563.26154,-71866.89783
2015-01-01 02:00:00,-17593.08816,-20245.50487,-18182.00213,-14054.47866,-70075.07382
2015-01-01 03:00:00,-17316.57776,-19961.58187,-17583.98084,-13592.21507,-68454.35553
2015-01-01 04:00:00,-17402.00817,-20048.41347,-17700.58118,-13682.34579,-68833.34861
2015-01-01 05:00:00,-17286.4238,-19951.49436,-17422.25003,-13467.19902,-68127.36721
2015-01-01 06:00:00,-17682.69866,-20384.24266,-18189.53225,-14060.29935,-70316.77292
2015-01-01 07:00:00,-19102.39247,-21843.4149,-21017.9204,-16246.61088,-78210.33865
2015-01-01 08:00:00,-21491.17698,-24264.38197,-25794.63327,-19938.95502,-91489.14725
2015-01-01 09:00:00,-24057.74823,-26850.12478,-30928.63312,-23907.4779,-105743.984
2015-01-01 10:00:00,-24116.76591,-26944.87649,-31101.62134,-24041.19581,-106204.4595
2015-01-01 11:00:00,-23384.66023,-26247.14521,-29702.41312,-22959.62394,-102293.8425
2015-01-01 12:00:00,-21614.82372,-24518.74441,-26249.64219,-20290.6717,-92673.88202
2015-01-01 13:00:00,-20389.31568,-23325.39723,-23872.57021,-18453.22238,-86040.5055
2015-01-01 14:00:00,-18597.97204,-21565.91472,-20367.11919,-15743.54903,-76274.55499
2015-01-01 15:00:00,-17223.01132,-20213.83933,-17677.87758,-13664.79618,-68779.52441
2015-01-01 16:00:00,-16967.04154,-19968.06034,-17200.21848,-13295.57118,-67430.89153
2015-01-01 17:00:00,-18230.49748,-21225.37487,-19727.77664,-15249.34458,-74432.99358
2015-01-01 18:00:00,-19905.53697,-22883.35237,-23060.23943,-17825.30002,-83674.42879
2015-01-01 19:00:00,-20562.69617,-23523.48276,-24369.15186,-18837.07428,-87292.40507
2015-01-01 20:00:00,-20512.80526,-23448.72533,-24267.58616,-18758.56516,-86987.68191
2015-01-01 21:00:00,-20529.67934,-23420.3663,-24275.12267,-18764.3908,-86989.5591
2015-01-01 22:00:00,-19801.80058,-22643.52106,-22785.68551,-17613.07299,-82844.08013
2015-01-01 23:00:00,-18923.69532,-21709.96898,-20963.02364,-16204.17632,-77800.86426
2015-01-02 00:00:00,-18224.89422,-20958.56028,-19476.21586,-15054.89099,-73714.56134
2015-01-02 01:00:00,-17520.99482,-20230.3159,-18012.74441,-13923.64439,-69687.69952
2015-01-02 02:00:00,-17214.40101,-19912.24434,-17354.53562,-13414.85656,-67896.03752
2015-01-02 03:00:00,-17191.97241,-19880.43432,-17252.99231,-13336.36475,-67661.76379
