monetary,emissions,indipendence,PM_emissions,monetary.w,emissions.w,indipendence.w,PM_emissions.w,pv_planned_ground,pv_planned_roof,wind_planned_onshore,wind_planned_offshore,P2Heat_planned,supply_heat_solid,supply_heat_oil,supply_heat_gpl,battery,supply_grid_power.p,pv_existing.p,pv_planned_ground.p,pv_planned_roof.p,wind_existing.p,wind_planned_onshore.p,wind_planned_offshore.p,P2Heat_existing.p,P2Heat_planned.p,supply_heat_solid.p,supply_heat_oil.p,supply_heat_gpl.p,battery.p,runtime,provenance
91411287.613,116661578.21,29886545.0,5074273.794000001,1,0.508786071734421,3.6386995776550544,0.1615496953662972,48968.0,185236.6,100000.0,38862.455,49851.986,3665.7538,38000.0,40000.0,102000.0,410609221.7466256,72421550.0,70926769.208,268302433.87380004,312867643.000001,340073525.0,97956022.55857274,103268673.9928502,387619978.1252254,73806.8633,2789341.8297,36045467.55724002,33660224.64253332,00:06:15,sets_SA_20231108_0857
110961035.6184,92552953.975166,25805222.0,148992866.488891,1,1.132758983785315,3.116126791206604,0.0484988138406892,48968.0,185236.6,100000.0,76773.003,35222.322,56000.0,295.41808,40000.0,124689.73,355309765.4273907,72421550.0,70926769.208,268302433.87380004,312867643.000001,340073525.0,193512686.7318945,111044465.78117733,231854976.23653823,186215390.1619841,295.41808,682141.8342200001,32776509.304604005,00:06:25,sets_SA_20231108_0857
122907357.317,90458599.69,23994321.0,159890872.979,1,2.1888523740767827,18.05895933993374,0.2614363392742369,48968.0,185236.6,100000.0,100000.0,49584.226,56000.0,8239.4233,40000.0,200000.0,333578094.2599459,72421550.0,70926769.208,268302433.87380004,312867643.000001,340073525.0,252058247.48102072,56403796.73437011,261122620.07236928,197585795.06234,555763.5580300004,14129294.810209991,42281976.50043197,00:06:12,sets_SA_20231108_0857
111452234.91000004,114738987.0,25788408.0,23034396.200000003,1,1.334769755000646,15.517899103501216,0.5104226712503619,48968.0,185236.6,100000.0,100000.0,61906.275,27992.416,38000.0,40000.0,200000.0,362583368.3795151,72421550.0,70926769.208,268302433.87380004,312867643.000001,340073525.0,252058247.48102072,49452322.25803005,384466769.0590869,15870788.11646988,7705466.975990005,72301923.50422998,42536179.799395,00:06:11,sets_SA_20231108_0857
118529710.66,90477689.2,24536224.0,154405568.97,1,1.1003243899096111,6.936467456027052,0.0856823430581593,48968.0,185236.6,100000.0,100000.0,38294.695,56000.0,0.0,37223.045,167409.64,341073101.3613731,72421550.0,70926769.208,268302433.87380004,312867643.000001,340073525.0,252058247.48102072,94858125.0780701,235871390.29442647,191947964.4334,0.0,7119787.607449999,39436808.19649696,00:06:09,sets_SA_20231108_0857
111964234.961,100882850.688,28331220.0,362800.0969,1,1.8188109889550308,8.927634067307475,1.090267646444179,48968.0,185236.6,100000.0,100000.0,77059.033,0.0,14458.708,40000.0,200000.0,385267487.471171,72421550.0,70926769.208,268302433.87380004,312867643.000001,340073525.0,252058247.4744909,43715444.92449005,483266365.57699937,0.0,61256.2208,2754204.0099599995,40273893.39671599,00:05:49,sets_SA_20231108_0857
112661768.646,97811873.804,27336605.0,30427593.0012,1,1.9865971222004404,7.4569400151273,0.3575852379281954,48968.0,185236.6,100000.0,100000.0,64253.346,56000.0,0.0,11264.395,200000.0,376149308.6070103,72421550.0,70926769.208,268302433.90380007,312867643.000001,340073525.0,252058247.49920103,56174542.17145987,435527693.4521036,38043364.17403,0.0,51671.3094,38926288.60763998,00:05:46,sets_SA_20231108_0857
85674354.754,120258897.18,31249946.0,4476231.6775,1,0.0,3.810132258859606,1.0029187000874582,48968.0,185236.6,100000.0,13018.338,48673.595,4844.1448,38000.0,40000.0,84273.047,428545179.1683026,72421550.0,70926769.208,268302433.90380007,312867643.000001,340073525.0,32813794.77960165,111471555.37718023,383742519.6955629,9714.7736,3107203.34909,31466275.218202,32477096.90743796,00:06:06,sets_SA_20231108_0857
79181856.538,122856323.12,34921741.0,2098234.0904,1,0.0,1.1377874035151798,1.0420558607068997,48968.0,185236.6,100000.0,0.0,51879.995,1637.7454,38000.0,40000.0,4458.3662,456647546.3971418,72421550.0,70926769.208,268302433.90380007,312867643.000001,340073525.0,0.0,111113195.89143978,402424022.5320142,2125.55838,625624.71488,15632302.144730024,2369654.162197997,00:06:03,sets_SA_20231108_0857
84541011.49000001,114817361.37,33475449.0,6716988.53,1,0.9954788750251968,0.0,0.1951367264447725,48968.0,185236.6,100000.0,10758.97,60387.897,31129.843,0.0,40000.0,32807.887,440976926.7197445,72421550.0,70926769.208,268302433.90380007,312867643.000001,340073525.0,27118870.025077004,84811517.80666016,436043187.4310247,8295925.967900001,0.0,646638.7441000002,10111851.670457045,00:06:18,sets_SA_20231108_0857
91717806.1,111106381.225,31130013.0,789595.822,1,0.652760277113326,2.67358999890645,1.0104583668595706,48968.0,185236.6,100000.0,31452.297,65212.864,0.0,26304.876,40000.0,92021.55,421355977.788737,72421550.0,70926769.208,268302433.87380004,312867643.000001,340073525.0,79278108.43257037,71721145.27447009,451951391.78901696,0.0,197388.5366,5927344.945099993,30325264.13740209,00:08:59,sets_SA_20231108_0857
