,PUN,AUST,BRNN,BSP,CNOR,COAC,CORS,CSUD,FOGN,FRAN,GREC,MALT,NORD,PRGP,ROSN,SARD,SICI,SLOV,SUD,SVIZ,XAUS,XFRA
2015-01-01 00:00:00,0.07068,0,0.07068,0.07068,0.07068,0.07068,0.07068,0.07068,0.07068,0.07068,0.07068,0.07068,0.07068,0,0,0.07068,0.07068,0.07068,0.07068,0.07068,0.07068,0
2015-01-01 01:00:00,0.06068,0,0.06068,0.06068,0.06068,0.06068,0.06068,0.06068,0.06068,0.06068,0.06068,0.06068,0.06068,0,0,0.06068,0.06068,0.06068,0.06068,0.06068,0.06068,0
2015-01-01 02:00:00,0.055614464,0,0.05567,0.05567,0.05567,0.05455,0.05455,0.05567,0.05455,0.05567,0.05567,0.05567,0.05567,0,0,0.05567,0.05567,0.05567,0.05567,0.05455,0.05567,0
2015-01-01 03:00:00,0.051535765,0,0.05167,0.05167,0.05167,0.049,0.049,0.05167,0.049,0.05167,0.05167,0.05167,0.05167,0,0,0.05167,0.05167,0.05167,0.05167,0.049,0.05167,0
2015-01-01 04:00:00,0.051515166,0,0.05165,0.05165,0.05165,0.049,0.049,0.05165,0.049,0.05165,0.05165,0.05165,0.05165,0,0,0.05165,0.05165,0.05165,0.05165,0.049,0.05165,0
2015-01-01 05:00:00,0.051505804,0,0.05164,0.05164,0.05164,0.049,0.049,0.05164,0.049,0.05164,0.05164,0.05164,0.05164,0,0,0.05164,0.05164,0.05164,0.05164,0.049,0.05164,0
2015-01-01 06:00:00,0.054603507,0,0.05465,0.05465,0.05465,0.05373,0.05373,0.05465,0.05373,0.05465,0.05465,0.05465,0.05465,0,0,0.05465,0.05465,0.05465,0.05465,0.05373,0.05465,0
2015-01-01 07:00:00,0.05165,0,0.05165,0.05165,0.05165,0.05165,0.05165,0.05165,0.05165,0.05165,0.05165,0.05165,0.05165,0,0,0.05165,0.05165,0.05165,0.05165,0.05165,0.05165,0
2015-01-01 08:00:00,0.05065,0,0.05065,0.05065,0.05065,0.05065,0.05065,0.05065,0.05065,0.05065,0.05065,0.05065,0.05065,0,0,0.05065,0.05065,0.05065,0.05065,0.05065,0.05065,0
2015-01-01 09:00:00,0.052617064,0,0.05261,0.05261,0.05261,0.05261,0.05261,0.05261,0.05261,0.05261,0.05261,0.05261,0.05261,0,0,0.05261,0.05261,0.0527,0.05261,0.05261,0.0527,0
2015-01-01 10:00:00,0.061397659,0,0.06061,0.06061,0.06061,0.06061,0.06061,0.06061,0.06061,0.06061,0.06061,0.06061,0.06061,0,0,0.06061,0.06061,0.07046,0.06061,0.06061,0.07046,0
2015-01-01 11:00:00,0.061463469,0,0.06067,0.06067,0.06067,0.06067,0.06067,0.06067,0.06067,0.06067,0.06067,0.06067,0.06067,0,0,0.06067,0.06067,0.07046,0.06067,0.06067,0.07046,0
2015-01-01 12:00:00,0.060663584,0,0.06,0.06,0.06,0.0597,0.0597,0.06,0.0597,0.06,0.06,0.06,0.06,0,0,0.06,0.06,0.06846,0.06,0.0597,0.06846,0
2015-01-01 13:00:00,0.05176,0,0.05176,0.05176,0.05176,0.05176,0.05176,0.05176,0.05176,0.05176,0.05176,0.05176,0.05176,0,0,0.05176,0.05176,0.05176,0.05176,0.05176,0.05176,0
2015-01-01 14:00:00,0.05175,0,0.05175,0.05175,0.05175,0.05175,0.05175,0.05175,0.05175,0.05175,0.05175,0.05175,0.05175,0,0,0.05175,0.05175,0.05175,0.05175,0.05175,0.05175,0
2015-01-01 15:00:00,0.05174,0,0.05174,0.05174,0.05174,0.05174,0.05174,0.05174,0.05174,0.05174,0.05174,0.05174,0.05174,0,0,0.05174,0.05174,0.05174,0.05174,0.05174,0.05174,0
2015-01-01 16:00:00,0.05177,0,0.05177,0.05177,0.05177,0.05177,0.05177,0.05177,0.05177,0.05177,0.05177,0.05177,0.05177,0,0,0.05177,0.05177,0.05177,0.05177,0.05177,0.05177,0
2015-01-01 17:00:00,0.074734079,0,0.07538,0.07538,0.07538,0.0606,0.0606,0.07538,0.0606,0.07538,0.07538,0.07538,0.07538,0,0,0.07538,0.07538,0.07546,0.07538,0.0606,0.07546,0
2015-01-01 18:00:00,0.079424059,0,0.07545,0.07545,0.07545,0.07545,0.07545,0.07545,0.07545,0.07545,0.07545,0.07545,0.07545,0,0,0.07545,0.07545,0.13,0.07545,0.07545,0.13,0
2015-01-01 19:00:00,0.084432187,0,0.08443,0.08443,0.08443,0.08443,0.08443,0.08443,0.08443,0.08443,0.08443,0.08443,0.08443,0,0,0.08443,0.08443,0.08446,0.08443,0.08443,0.08446,0
2015-01-01 20:00:00,0.112416549,0,0.10939,0.10939,0.10939,0.10939,0.10939,0.10939,0.10939,0.10939,0.10939,0.10939,0.10939,0,0,0.10939,0.10939,0.15,0.10939,0.10939,0.15,0
2015-01-01 21:00:00,0.101051282,0,0.1,0.1,0.1,0.099,0.099,0.1,0.099,0.1,0.1,0.1,0.1,0,0,0.1,0.1,0.1146,0.1,0.099,0.1146,0
2015-01-01 22:00:00,0.060716387,0,0.06075,0.06075,0.06075,0.06,0.06,0.06075,0.06,0.06075,0.06075,0.06075,0.06075,0,0,0.06075,0.06075,0.06076,0.06075,0.06,0.06076,0
