,PUN,AUST,BRNN,BSP,CNOR,COAC,CORS,CSUD,FOGN,FRAN,GREC,MALT,NORD,PRGP,ROSN,SARD,SICI,SLOV,SUD,SVIZ,XAUS,XFRA
2015-01-01 00:00:00,0.05041211,0.04962,0.04962,0.04962,0.04962,0.04962,0.04962,0.04962,0.04962,0.04962,0.04962,0.06017,0.04962,0.06017,0.04962,0.04962,0.06017,0.04962,0.04962,0.04962,0.04962,0.04962
2015-01-01 01:00:00,0.04476435,0.0435,0.0435,0.0435,0.0435,0.0435,0.0435,0.0435,0.0435,0.0435,0.0435,0.06017,0.0435,0.06017,0.0435,0.0435,0.06017,0.0435,0.0435,0.0435,0.0435,0.0435
2015-01-01 02:00:00,0.04001613,0.03863,0.03863,0.03863,0.03863,0.03863,0.03863,0.03863,0.03863,0.03863,0.03863,0.05739,0.03863,0.05739,0.03863,0.03863,0.05739,0.03863,0.03863,0.03863,0.03863,0.03863
2015-01-01 03:00:00,0.03792076,0.0368,0.0368,0.0368,0.0368,0.0368,0.0368,0.0368,0.0368,0.0368,0.0368,0.05293,0.0368,0.05293,0.0368,0.0368,0.05293,0.0368,0.0368,0.0368,0.0368,0.0368
2015-01-01 04:00:00,0.03577287,0.0345,0.0345,0.0345,0.0345,0.0345,0.0345,0.0345,0.0345,0.0345,0.0345,0.05293,0.0345,0.05293,0.0345,0.0345,0.05293,0.0345,0.0345,0.0345,0.0345,0.0345
2015-01-01 05:00:00,0.03340669,0.0321,0.0321,0.0321,0.0321,0.0321,0.0321,0.0321,0.0321,0.0321,0.0321,0.05155,0.0321,0.05155,0.0321,0.0321,0.05155,0.0321,0.0321,0.0321,0.0321,0.0321
2015-01-01 06:00:00,0.03712273,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.05293,0.036,0.05293,0.036,0.036,0.05293,0.036,0.036,0.036,0.036,0.036
2015-01-01 07:00:00,0.03887603,0.03754,0.03754,0.03754,0.03754,0.03754,0.03754,0.03754,0.03754,0.03754,0.03754,0.058,0.03754,0.058,0.03754,0.03754,0.058,0.03754,0.03754,0.03754,0.03754,0.03754
2015-01-01 08:00:00,0.03915419,0.03754,0.03754,0.03754,0.03754,0.03754,0.03754,0.03754,0.03754,0.03754,0.03754,0.06017,0.03754,0.06017,0.03754,0.03754,0.06017,0.03754,0.03754,0.03754,0.03754,0.03754
2015-01-01 09:00:00,0.0378133,0.03595,0.03595,0.03595,0.03595,0.03595,0.03595,0.03595,0.03595,0.03595,0.03595,0.06017,0.03595,0.06017,0.03595,0.03595,0.06017,0.03595,0.03595,0.03595,0.03595,0.03595
2015-01-01 10:00:00,0.03944993,0.03763,0.03763,0.03763,0.03763,0.03763,0.03763,0.03763,0.03763,0.03763,0.03763,0.06017,0.03763,0.06017,0.03763,0.03763,0.06017,0.03763,0.03763,0.03763,0.03763,0.03763
2015-01-01 11:00:00,0.03873427,0.0368,0.0368,0.0368,0.0368,0.0368,0.0368,0.0368,0.0368,0.0368,0.0368,0.06017,0.0368,0.06017,0.0368,0.0368,0.06017,0.0368,0.0368,0.0368,0.0368,0.0368
2015-01-01 12:00:00,0.03941794,0.03754,0.03754,0.03754,0.03754,0.03754,0.03754,0.03754,0.03754,0.03754,0.03754,0.06017,0.03754,0.06017,0.03754,0.03754,0.06017,0.03754,0.03754,0.03754,0.03754,0.03754
2015-01-01 13:00:00,0.03663176,0.0346,0.0346,0.0346,0.0346,0.0346,0.0346,0.0346,0.0346,0.0346,0.0346,0.06017,0.0346,0.06017,0.0346,0.0346,0.06017,0.0346,0.0346,0.0346,0.0346,0.0346
2015-01-01 14:00:00,0.03757307,0.03595,0.03595,0.03595,0.03595,0.03595,0.03595,0.03595,0.03595,0.03595,0.03595,0.05806,0.03595,0.05806,0.03595,0.03595,0.05806,0.03595,0.03595,0.03595,0.03595,0.03595
2015-01-01 15:00:00,0.04255989,0.04118,0.04118,0.04118,0.04118,0.04118,0.04118,0.04118,0.04118,0.04118,0.04118,0.06017,0.04118,0.06017,0.04118,0.04118,0.06017,0.04118,0.04118,0.04118,0.04118,0.04118
2015-01-01 16:00:00,0.0476312,0.04665,0.04665,0.04665,0.04665,0.04665,0.04665,0.04665,0.04665,0.04665,0.04665,0.06032,0.04665,0.06032,0.04665,0.04665,0.06032,0.04665,0.04665,0.04665,0.04665,0.04665
2015-01-01 17:00:00,0.05813406,0.05796,0.05796,0.05796,0.05796,0.05796,0.05796,0.05796,0.05796,0.05796,0.05796,0.06032,0.05796,0.06032,0.05796,0.05796,0.06032,0.05796,0.05796,0.05796,0.05796,0.05796
2015-01-01 18:00:00,0.06129123,0.06131,0.06131,0.06131,0.06131,0.06131,0.06131,0.06131,0.06131,0.06131,0.06131,0.06105,0.06131,0.06105,0.06131,0.06131,0.06105,0.06131,0.06131,0.06131,0.06131,0.06131
2015-01-01 19:00:00,0.06007768,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06105,0.06,0.06105,0.06,0.06,0.06105,0.06,0.06,0.06,0.06,0.06
2015-01-01 20:00:00,0.05731141,0.057,0.057,0.057,0.057,0.057,0.057,0.057,0.057,0.057,0.057,0.06105,0.057,0.06105,0.057,0.057,0.06105,0.057,0.057,0.057,0.057,0.057
2015-01-01 21:00:00,0.05540929,0.055,0.055,0.055,0.055,0.055,0.055,0.055,0.055,0.055,0.055,0.06032,0.055,0.06032,0.055,0.055,0.06032,0.055,0.055,0.055,0.055,0.055
2015-01-01 22:00:00,0.04781266,0.04676,0.04676,0.04676,0.04676,0.04676,0.04676,0.04676,0.04676,0.04676,0.04676,0.06032,0.04676,0.06032,0.04676,0.04676,0.06032,0.04676,0.04676,0.04676,0.04676,0.04676
2015-01-01 23:00:00,0.04454014,0.04321,0.04321,0.04321,0.04321,0.04321,0.04321,0.04321,0.04321,0.04321,0.04321,0.06017,0.04321,0.06017,0.04321,0.04321,0.06017,0.04321,0.04321,0.04321,0.04321,0.04321
2015-01-02 00:00:00,0.0403758,0.03952,0.03952,0.03952,0.03952,0.03952,0.03952,0.03952,0.03952,0.03952,0.03952,0.05155,0.03952,0.05155,0.03952,0.03952,0.05155,0.03952,0.03952,0.03952,0.03952,0.03952
2015-01-02 01:00:00,0.03735059,0.03629,0.03629,0.03629,0.03629,0.03629,0.03629,0.03629,0.03629,0.03629,0.03629,0.0515,0.03629,0.0515,0.03629,0.03629,0.0515,0.03629,0.03629,0.03629,0.03629,0.03629
2015-01-02 02:00:00,0.03686367,0.03589,0.03589,0.03589,0.03589,0.03589,0.03589,0.03589,0.03589,0.03589,0.03589,0.05044,0.03589,0.05044,0.03589,0.03589,0.05044,0.03589,0.03589,0.03589,0.03589,0.03589
2015-01-02 03:00:00,0.03617133,0.03522,0.03522,0.03522,0.03522,0.03522,0.03522,0.03522,0.03522,0.03522,0.03522,0.05044,0.03522,0.05044,0.03522,0.03522,0.05044,0.03522,0.03522,0.03522,0.03522,0.03522
2015-01-02 04:00:00,0.03611514,0.03515,0.03515,0.03515,0.03515,0.03515,0.03515,0.03515,0.03515,0.03515,0.03515,0.05044,0.03515,0.05044,0.03515,0.03515,0.05044,0.03515,0.03515,0.03515,0.03515,0.03515
2015-01-02 05:00:00,0.03680651,0.03589,0.03589,0.03589,0.03589,0.03589,0.03589,0.03589,0.03589,0.03589,0.03589,0.05044,0.03589,0.05044,0.03589,0.03589,0.05044,0.03589,0.03589,0.03589,0.03589,0.03589
2015-01-02 06:00:00,0.03954608,0.03872,0.03872,0.03872,0.03872,0.03872,0.03872,0.03872,0.03872,0.03872,0.03872,0.0515,0.03872,0.0515,0.03872,0.03872,0.0515,0.03872,0.03872,0.03872,0.03872,0.03872
2015-01-02 07:00:00,0.04634,0.04588067,0.04588067,0.04588067,0.04588067,0.04588067,0.04588067,0.04588067,0.04588067,0.04588067,0.04588067,0.05293,0.04588067,0.05293,0.04588067,0.04588067,0.05293,0.04588067,0.04588067,0.04588067,0.04588067,0.04588067
2015-01-02 08:00:00,0.05451,0.05451,0.05451,0.05451,0.05451,0.05451,0.05451,0.05451,0.05451,0.05451,0.05451,0.05451,0.05451,0.05451,0.05451,0.05451,0.05451,0.05451,0.05451,0.05451,0.05451,0.05451
2015-01-02 09:00:00,0.055,0.055,0.055,0.055,0.055,0.055,0.055,0.055,0.055,0.055,0.055,0.055,0.055,0.055,0.055,0.055,0.055,0.055,0.055,0.055,0.055,0.055
2015-01-02 10:00:00,0.05461,0.05461,0.05461,0.05461,0.05461,0.05461,0.05461,0.05461,0.05461,0.05461,0.05461,0.05461,0.05461,0.05461,0.05461,0.05461,0.05461,0.05461,0.05461,0.05461,0.05461,0.05461
2015-01-02 11:00:00,0.0486772,0.04848,0.04848,0.04848,0.04848,0.04848,0.04848,0.04848,0.04848,0.04848,0.04848,0.0515,0.04848,0.0515,0.04848,0.04848,0.0515,0.04848,0.04848,0.04848,0.04848,0.04848
2015-01-02 12:00:00,0.04543916,0.04501,0.04501,0.04501,0.04501,0.04501,0.04501,0.04501,0.04501,0.04501,0.04501,0.0515,0.04501,0.0515,0.04501,0.04501,0.0515,0.04501,0.04501,0.04501,0.04501,0.04501
2015-01-02 13:00:00,0.0423025,0.04164,0.04164,0.04164,0.04164,0.04164,0.04164,0.04164,0.04164,0.04164,0.04164,0.0515,0.04164,0.0515,0.04164,0.04164,0.0515,0.04164,0.04164,0.04164,0.04164,0.04164
2015-01-02 14:00:00,0.04425858,0.04372,0.04372,0.04372,0.04372,0.04372,0.04372,0.04372,0.04372,0.04372,0.04372,0.05155,0.04372,0.05155,0.04372,0.04372,0.05155,0.04372,0.04372,0.04372,0.04372,0.04372
2015-01-02 15:00:00,0.04912922,0.04895,0.04895,0.04895,0.04895,0.04895,0.04895,0.04895,0.04895,0.04895,0.04895,0.05155,0.04895,0.05155,0.04895,0.04895,0.05155,0.04895,0.04895,0.04895,0.04895,0.04895
2015-01-02 16:00:00,0.05329825,0.05299,0.05299,0.05299,0.05299,0.05299,0.05299,0.05299,0.05299,0.05299,0.05299,0.05739,0.05299,0.05739,0.05299,0.05299,0.05739,0.05299,0.05299,0.05299,0.05299,0.05299
