,onshore,offshore
2015-01-01 00:00:00,0.623,0.237142844
2015-01-01 01:00:00,0.537,0.230689899
2015-01-01 02:00:00,0.401,0.204851149
2015-01-01 03:00:00,0.351,0.21263826
2015-01-01 04:00:00,0.238,0.165218993
2015-01-01 05:00:00,0.099,0.033937549
2015-01-01 06:00:00,0.021,0.015684275
2015-01-01 07:00:00,0.015,0.031207616
2015-01-01 08:00:00,0,0.011757468
2015-01-01 09:00:00,0,0.008365428
2015-01-01 10:00:00,0,9.25E-05
2015-01-01 11:00:00,0,0
2015-01-01 12:00:00,0,0
2015-01-01 13:00:00,0.022,0.001037099
2015-01-01 14:00:00,0.064,0.008299268
2015-01-01 15:00:00,0.121,0.018081426
2015-01-01 16:00:00,0.203,0.00394131
2015-01-01 17:00:00,0.033,0.000936075
2015-01-01 18:00:00,0,0.014814372
2015-01-01 19:00:00,0,0.017102056
2015-01-01 20:00:00,0.015,0.011192002
2015-01-01 21:00:00,0.019,0.030329063
2015-01-01 22:00:00,0.141,0.142278017
2015-01-01 23:00:00,0.703,0.568015921
2015-01-02 00:00:00,0.9,0.876558246
2015-01-02 01:00:00,0.9,0.869016785
2015-01-02 02:00:00,0.9,0.962113772
2015-01-02 03:00:00,0.9,0.949469562
2015-01-02 04:00:00,0.9,0.986571525
2015-01-02 05:00:00,0.9,0.965955916
2015-01-02 06:00:00,0.9,0.99680431
2015-01-02 07:00:00,0.9,0.997394917
2015-01-02 08:00:00,0.9,0.987017763
2015-01-02 09:00:00,0.9,0.999637391
2015-01-02 10:00:00,0.9,0.996523795
2015-01-02 11:00:00,0.9,0.99980822
2015-01-02 12:00:00,0.9,0.963853097
2015-01-02 13:00:00,0.9,0.965171284
2015-01-02 14:00:00,0.9,0.753399396
2015-01-02 15:00:00,0.777,0.614016261
2015-01-02 16:00:00,0.692,0.362692119
2015-01-02 17:00:00,0.624,0.324671717
2015-01-02 18:00:00,0.613,0.480410541
2015-01-02 19:00:00,0.474,0.439283755
2015-01-02 20:00:00,0.649,0.215660933
2015-01-02 21:00:00,0.879,0.292440172
2015-01-02 22:00:00,0.9,0.471954891
2015-01-02 23:00:00,0.822,0.570686279
2015-01-03 00:00:00,0.355,0.319166203
2015-01-03 01:00:00,0.114,0.007628668
2015-01-03 02:00:00,0.39,0.002121261
2015-01-03 03:00:00,0.379,0.003204077
2015-01-03 04:00:00,0.397,0.045625297
2015-01-03 05:00:00,0.9,0.516386327
2015-01-03 06:00:00,0.9,0.753111624
2015-01-03 07:00:00,0.367,0.243000056
2015-01-03 08:00:00,0.159,0.073616102
2015-01-03 09:00:00,0,0.001387144
2015-01-03 10:00:00,0.033,3.87E-05
2015-01-03 11:00:00,0.034,0.000510016
2015-01-03 12:00:00,0.032,0.003602719
2015-01-03 13:00:00,0.03,0.005499053
2015-01-03 14:00:00,0.042,0.031935858
2015-01-03 15:00:00,0.087,0.165429214
2015-01-03 16:00:00,0.267,0.20909719
2015-01-03 17:00:00,0.267,0.194552148
2015-01-03 18:00:00,0.247,0.097321678
2015-01-03 19:00:00,0.531,0.031102599
2015-01-03 20:00:00,0.364,0.223711714
2015-01-03 21:00:00,0.227,0.075417165
2015-01-03 22:00:00,0.338,0.092395081
2015-01-03 23:00:00,0.372,0.139784503
2015-01-04 00:00:00,0.525,0.153707322
2015-01-04 01:00:00,0.545,0.132417157
2015-01-04 02:00:00,0.36,0.116927935
2015-01-04 03:00:00,0.128,0.05610786
2015-01-04 04:00:00,0.086,0.056908059
2015-01-04 05:00:00,0.092,0.032813975
2015-01-04 06:00:00,0.053,0.018525551
2015-01-04 07:00:00,0.045,0.014238752
2015-01-04 08:00:00,0.1,0.015780659
2015-01-04 09:00:00,0.017,0.00448078
2015-01-04 10:00:00,0,4.36E-05
2015-01-04 11:00:00,0.045,0.000143706
2015-01-04 12:00:00,0.474,0.035306544
2015-01-04 13:00:00,0.628,0.092495662
2015-01-04 14:00:00,0.805,0.34698346
2015-01-04 15:00:00,0.489,0.197562709
2015-01-04 16:00:00,0.454,0.193430421
2015-01-04 17:00:00,0.205,0.161388459
2015-01-04 18:00:00,0.049,0.078460218
2015-01-04 19:00:00,0.032,0.038323007
2015-01-04 20:00:00,0.046,0.022206737
2015-01-04 21:00:00,0.081,0.010724751
2015-01-04 22:00:00,0.012,0.002412724
2015-01-04 23:00:00,0,0.00452185
2015-01-05 00:00:00,0,0.005419369
