,onshore,offshore
2015-01-01 00:00:00,0,0
2015-01-01 01:00:00,0,0
2015-01-01 02:00:00,0.013,0.000112596
2015-01-01 03:00:00,0.06,0.005665878
2015-01-01 04:00:00,0.104,0.012950765
2015-01-01 05:00:00,0.125,0.019915603
2015-01-01 06:00:00,0.117,0.024288784
2015-01-01 07:00:00,0.175,0.037993894
2015-01-01 08:00:00,0.228,0.065846543
2015-01-01 09:00:00,0.279,0.09998034
2015-01-01 10:00:00,0.481,0.152776284
2015-01-01 11:00:00,0.686,0.234623426
2015-01-01 12:00:00,0.797,0.325478945
2015-01-01 13:00:00,0.852,0.504376253
2015-01-01 14:00:00,0.857,0.576775389
2015-01-01 15:00:00,0.848,0.539925647
2015-01-01 16:00:00,0.794,0.370204873
2015-01-01 17:00:00,0.686,0.301362076
2015-01-01 18:00:00,0.379,0.217477417
2015-01-01 19:00:00,0.12,0.123426056
2015-01-01 20:00:00,0.059,0.063345456
2015-01-01 21:00:00,0.048,0.052996097
2015-01-01 22:00:00,0.123,0.089158298
2015-01-01 23:00:00,0.354,0.191540311
2015-01-02 00:00:00,0.438,0.344922686
2015-01-02 01:00:00,0.357,0.230282043
2015-01-02 02:00:00,0.264,0.13484955
2015-01-02 03:00:00,0.159,0.06645157
2015-01-02 04:00:00,0.09,0.042815596
2015-01-02 05:00:00,0.04,0.025256696
2015-01-02 06:00:00,0.015,0.0088379
2015-01-02 07:00:00,0,0.000168655
2015-01-02 08:00:00,0,1.79E-05
2015-01-02 09:00:00,0,0
2015-01-02 10:00:00,0.019,0.000923306
2015-01-02 11:00:00,0.088,0.01363727
2015-01-02 12:00:00,0.237,0.085956525
2015-01-02 13:00:00,0.402,0.101191682
2015-01-02 14:00:00,0.378,0.088045413
2015-01-02 15:00:00,0.292,0.103261039
2015-01-02 16:00:00,0.313,0.148313236
2015-01-02 17:00:00,0.268,0.080208935
2015-01-02 18:00:00,0.122,0.021873402
2015-01-02 19:00:00,0.106,0.074701943
2015-01-02 20:00:00,0.25,0.271936705
2015-01-02 21:00:00,0.504,0.299938517
2015-01-02 22:00:00,0.676,0.262101168
2015-01-02 23:00:00,0.757,0.337754503
2015-01-03 00:00:00,0.727,0.337349244
2015-01-03 01:00:00,0.74,0.355420601
2015-01-03 02:00:00,0.847,0.491361793
2015-01-03 03:00:00,0.832,0.40276497
2015-01-03 04:00:00,0.856,0.492918973
2015-01-03 05:00:00,0.845,0.401710935
2015-01-03 06:00:00,0.881,0.5233547
2015-01-03 07:00:00,0.9,0.744754489
2015-01-03 08:00:00,0.9,0.853176926
2015-01-03 09:00:00,0.9,0.841328505
2015-01-03 10:00:00,0.899,0.645102166
2015-01-03 11:00:00,0.775,0.359314908
2015-01-03 12:00:00,0.629,0.216376204
2015-01-03 13:00:00,0.351,0.084103488
2015-01-03 14:00:00,0.225,0.075002708
2015-01-03 15:00:00,0.257,0.070642962
2015-01-03 16:00:00,0.444,0.141216011
2015-01-03 17:00:00,0.693,0.260818176
