,onshore,offshore
2015-01-01 00:00:00,0.9,0.999168061
2015-01-01 01:00:00,0.9,0.989728369
2015-01-01 02:00:00,0.9,0.667730794
2015-01-01 03:00:00,0.9,0.612387887
2015-01-01 04:00:00,0.9,0.751482676
2015-01-01 05:00:00,0.9,0.822300075
2015-01-01 06:00:00,0.9,0.498119822
2015-01-01 07:00:00,0.9,0.780056512
2015-01-01 08:00:00,0.893,0.45147416
2015-01-01 09:00:00,0.464,0.073225627
2015-01-01 10:00:00,0.32,0.050212873
2015-01-01 11:00:00,0.594,0.467710637
2015-01-01 12:00:00,0.9,0.964592909
2015-01-01 13:00:00,0.9,0.967635285
2015-01-01 14:00:00,0.9,0.988134185
2015-01-01 15:00:00,0.9,0.857211147
2015-01-01 16:00:00,0.847,0.676036306
2015-01-01 17:00:00,0.878,0.727677485
2015-01-01 18:00:00,0.831,0.494211436
2015-01-01 19:00:00,0.827,0.172722865
2015-01-01 20:00:00,0.9,0.264724794
2015-01-01 21:00:00,0.9,0.464590482
2015-01-01 22:00:00,0.855,0.221318575
2015-01-01 23:00:00,0.672,0.180720469
2015-01-02 00:00:00,0.655,0.105863761
2015-01-02 01:00:00,0.761,0.231110039
2015-01-02 02:00:00,0.693,0.136582829
2015-01-02 03:00:00,0.844,0.145746095
2015-01-02 04:00:00,0.665,0.192196523
2015-01-02 05:00:00,0.704,0.004967003
2015-01-02 06:00:00,0.438,0.060069586
2015-01-02 07:00:00,0.166,0.012879897
2015-01-02 08:00:00,0.111,0.023031518
2015-01-02 09:00:00,0.019,0.031819328
2015-01-02 10:00:00,0.014,0.032119339
2015-01-02 11:00:00,0,0.02597219
2015-01-02 12:00:00,0.059,0.00989108
2015-01-02 13:00:00,0.207,0.046786184
2015-01-02 14:00:00,0.235,0.091966412
2015-01-02 15:00:00,0.321,0.102166973
2015-01-02 16:00:00,0.435,0.094857886
2015-01-02 17:00:00,0.443,0.075604689
2015-01-02 18:00:00,0.238,0.078589528
2015-01-02 19:00:00,0.101,0.015555405
2015-01-02 20:00:00,0.074,0.005622919
2015-01-02 21:00:00,0.101,0.020622964
2015-01-02 22:00:00,0.074,0.024098348
2015-01-02 23:00:00,0.098,0.027374918
2015-01-03 00:00:00,0.142,0.094338373
2015-01-03 01:00:00,0.31,0.223019239
2015-01-03 02:00:00,0.34,0.277815576
2015-01-03 03:00:00,0.434,0.311820076
2015-01-03 04:00:00,0.57,0.446984745
2015-01-03 05:00:00,0.763,0.645033595
2015-01-03 06:00:00,0.854,0.679143682
2015-01-03 07:00:00,0.891,0.714049501
2015-01-03 08:00:00,0.9,0.679916882
2015-01-03 09:00:00,0.9,0.820892465
2015-01-03 10:00:00,0.9,0.958655481
2015-01-03 11:00:00,0.9,0.937671536
2015-01-03 12:00:00,0.9,0.907566457
2015-01-03 13:00:00,0.9,0.934737579
2015-01-03 14:00:00,0.9,0.953891677
2015-01-03 15:00:00,0.9,0.890665058
2015-01-03 16:00:00,0.9,0.813369096
2015-01-03 17:00:00,0.9,0.850338544
2015-01-03 18:00:00,0.9,0.843342258
2015-01-03 19:00:00,0.9,0.856544981
2015-01-03 20:00:00,0.9,0.882082581
2015-01-03 21:00:00,0.9,0.919252863
2015-01-03 22:00:00,0.9,0.965948667
2015-01-03 23:00:00,0.9,0.981813584
2015-01-04 00:00:00,0.9,0.998761209
2015-01-04 01:00:00,0.9,0.999595202
2015-01-04 02:00:00,0.9,0.999893101
2015-01-04 03:00:00,0.9,0.982459243
2015-01-04 04:00:00,0.9,0.99800137
2015-01-04 05:00:00,0.9,0.9994695
2015-01-04 06:00:00,0.9,0.991021655
2015-01-04 07:00:00,0.9,0.988674196
2015-01-04 08:00:00,0.9,0.999056364
2015-01-04 09:00:00,0.9,1
2015-01-04 10:00:00,0.9,0.999969365
2015-01-04 11:00:00,0.9,0.999793465
2015-01-04 12:00:00,0.9,0.999289854
2015-01-04 13:00:00,0.9,0.996161823
2015-01-04 14:00:00,0.9,0.996602719
2015-01-04 15:00:00,0.9,0.994547753
2015-01-04 16:00:00,0.9,0.989919504
2015-01-04 17:00:00,0.9,0.961918915
2015-01-04 18:00:00,0.9,0.991104111
2015-01-04 19:00:00,0.9,0.998661673
2015-01-04 20:00:00,0.9,0.999040467
2015-01-04 21:00:00,0.896,0.909179204
2015-01-04 22:00:00,0.871,0.820148884
2015-01-04 23:00:00,0.64,0.655466247
2015-01-05 00:00:00,0.244,0.280734475
2015-01-05 01:00:00,0.085,0.07807879
2015-01-05 02:00:00,0.069,0.076503968
2015-01-05 03:00:00,0.112,0.065116588
2015-01-05 04:00:00,0.029,0.054200962
2015-01-05 05:00:00,0,0.03416929
2015-01-05 06:00:00,0.018,0.013744516
2015-01-05 07:00:00,0.373,0.003902722
2015-01-05 08:00:00,0.68,0.006249412
2015-01-05 09:00:00,0.639,0.006276902
2015-01-05 10:00:00,0.401,0.041996641
2015-01-05 11:00:00,0.225,0.025428086
2015-01-05 12:00:00,0.17,0.110666091
2015-01-05 13:00:00,0.162,0.255305527
2015-01-05 14:00:00,0.327,0.233126866
2015-01-05 15:00:00,0.281,0.173968241
2015-01-05 16:00:00,0.29,0.250827936
2015-01-05 17:00:00,0.343,0.289596134
2015-01-05 18:00:00,0.287,0.173274671
2015-01-05 19:00:00,0.237,0.129102606
2015-01-05 20:00:00,0.125,0.089489071
2015-01-05 21:00:00,0.17,0.042289563
2015-01-05 22:00:00,0.057,0.010223979
2015-01-05 23:00:00,0.013,0.002801048
2015-01-06 00:00:00,0.018,0.005038686
2015-01-06 01:00:00,0.014,0.00426467
2015-01-06 02:00:00,0.035,0.002012138
2015-01-06 03:00:00,0.039,0.000307979
2015-01-06 04:00:00,0.016,0
2015-01-06 05:00:00,0,0
2015-01-06 06:00:00,0,0
2015-01-06 07:00:00,0,0
2015-01-06 08:00:00,0,0
2015-01-06 09:00:00,0,0
2015-01-06 10:00:00,0,0.001811641
2015-01-06 11:00:00,0.137,0.026220273
2015-01-06 12:00:00,0.37,0.082612305
2015-01-06 13:00:00,0.55,0.144153657
2015-01-06 14:00:00,0.448,0.122582145
2015-01-06 15:00:00,0.341,0.093197655
2015-01-06 16:00:00,0.289,0.093136283
2015-01-06 17:00:00,0.163,0.086155156
2015-01-06 18:00:00,0.022,0.045584561
2015-01-06 19:00:00,0.019,0.002665251
2015-01-06 20:00:00,0.061,0.000796066
2015-01-06 21:00:00,0.11,0.000192297
2015-01-06 22:00:00,0.16,6.57E-05
2015-01-06 23:00:00,0.205,0.001707098
2015-01-07 00:00:00,0.209,0.006776953
2015-01-07 01:00:00,0.097,0.005365919
2015-01-07 02:00:00,0.017,0.001638633
2015-01-07 03:00:00,0,0.001033587
2015-01-07 04:00:00,0.011,0.000801952
2015-01-07 05:00:00,0,0.000926892
2015-01-07 06:00:00,0,3.79E-05
2015-01-07 07:00:00,0,0.00025913
2015-01-07 08:00:00,0,0.00080632
2015-01-07 09:00:00,0,0.002481622
2015-01-07 10:00:00,0,0.011826764
2015-01-07 11:00:00,0.113,0.021379062
2015-01-07 12:00:00,0.212,0.010767395
2015-01-07 13:00:00,0.173,0.022741072
2015-01-07 14:00:00,0.16,0.031908558
2015-01-07 15:00:00,0.176,0.027072201
2015-01-07 16:00:00,0.171,0.050504918
2015-01-07 17:00:00,0.018,0.033111842
2015-01-07 18:00:00,0,0.0151867
2015-01-07 19:00:00,0,0.00135736
2015-01-07 20:00:00,0,0.004782341
2015-01-07 21:00:00,0,2.82E-05
2015-01-07 22:00:00,0,0.000308141
2015-01-07 23:00:00,0.038,0.002482522
2015-01-08 00:00:00,0.095,0.009074191
2015-01-08 01:00:00,0.07,0.007349447
2015-01-08 02:00:00,0.064,0.00364084
2015-01-08 03:00:00,0.044,0.001470648
2015-01-08 04:00:00,0.054,0.004806127
2015-01-08 05:00:00,0.128,0.005931455
2015-01-08 06:00:00,0.109,0.002529619
2015-01-08 07:00:00,0.053,0.00168666
2015-01-08 08:00:00,0,0
2015-01-08 09:00:00,0,0
2015-01-08 10:00:00,0,0.008402964
2015-01-08 11:00:00,0.334,0.118320691
2015-01-08 12:00:00,0.629,0.163534179
2015-01-08 13:00:00,0.635,0.167781027
2015-01-08 14:00:00,0.659,0.151507544
2015-01-08 15:00:00,0.684,0.166047963
2015-01-08 16:00:00,0.79,0.391216991
2015-01-08 17:00:00,0.825,0.490687544
2015-01-08 18:00:00,0.528,0.208507266
2015-01-08 19:00:00,0.811,0.515178174
2015-01-08 20:00:00,0.883,0.608796403
2015-01-08 21:00:00,0.858,0.4116219
2015-01-08 22:00:00,0.886,0.478164716
2015-01-08 23:00:00,0.9,0.553654392
2015-01-09 00:00:00,0.9,0.503070995
2015-01-09 01:00:00,0.9,0.715727607
2015-01-09 02:00:00,0.9,0.741834608
2015-01-09 03:00:00,0.9,0.749387073
2015-01-09 04:00:00,0.9,0.774456546
2015-01-09 05:00:00,0.9,0.835143573
2015-01-09 06:00:00,0.9,0.852617041
2015-01-09 07:00:00,0.9,0.876885927
2015-01-09 08:00:00,0.9,0.862384554
2015-01-09 09:00:00,0.9,0.9611179
2015-01-09 10:00:00,0.9,0.978393215
2015-01-09 11:00:00,0.9,0.989351735
2015-01-09 12:00:00,0.9,0.990798966
2015-01-09 13:00:00,0.9,0.981457503
2015-01-09 14:00:00,0.9,0.996686546
2015-01-09 15:00:00,0.9,0.998270969
2015-01-09 16:00:00,0.9,0.987372936
2015-01-09 17:00:00,0.9,0.996184906
2015-01-09 18:00:00,0.9,0.979930046
2015-01-09 19:00:00,0.9,0.95543152
2015-01-09 20:00:00,0.9,0.968187558
2015-01-09 21:00:00,0.9,0.934915144
2015-01-09 22:00:00,0.9,0.985202224
2015-01-09 23:00:00,0.9,0.991125146
2015-01-10 00:00:00,0.9,0.929195505
2015-01-10 01:00:00,0.9,0.970059181
2015-01-10 02:00:00,0.9,0.933638272
2015-01-10 03:00:00,0.9,0.99016221
2015-01-10 04:00:00,0.9,0.979427396
2015-01-10 05:00:00,0.9,0.985305203
2015-01-10 06:00:00,0.9,0.999647998
2015-01-10 07:00:00,0.9,0.993398015
2015-01-10 08:00:00,0.9,0.977240425
2015-01-10 09:00:00,0.9,0.940743697
2015-01-10 10:00:00,0.9,0.975767688
2015-01-10 11:00:00,0.9,0.998460963
2015-01-10 12:00:00,0.9,0.999941743
2015-01-10 13:00:00,0.9,0.999920181
2015-01-10 14:00:00,0.9,0.999181969
2015-01-10 15:00:00,0.9,0.993835678
2015-01-10 16:00:00,0.9,0.974151616
2015-01-10 17:00:00,0.9,0.932367231
2015-01-10 18:00:00,0.9,0.72381097
2015-01-10 19:00:00,0.866,0.519305497
2015-01-10 20:00:00,0.866,0.547801428
2015-01-10 21:00:00,0.879,0.545487728
2015-01-10 22:00:00,0.878,0.521074522
2015-01-10 23:00:00,0.843,0.4707905
2015-01-11 00:00:00,0.686,0.367942958
2015-01-11 01:00:00,0.539,0.364422478
2015-01-11 02:00:00,0.433,0.297464756
2015-01-11 03:00:00,0.473,0.284244638
2015-01-11 04:00:00,0.481,0.344570772
2015-01-11 05:00:00,0.614,0.292328899
2015-01-11 06:00:00,0.729,0.319033328
2015-01-11 07:00:00,0.864,0.364671484
2015-01-11 08:00:00,0.832,0.368322779
2015-01-11 09:00:00,0.787,0.524235203
2015-01-11 10:00:00,0.9,0.693883236
2015-01-11 11:00:00,0.892,0.655951966
2015-01-11 12:00:00,0.9,0.618474707
2015-01-11 13:00:00,0.9,0.760099483
2015-01-11 14:00:00,0.9,0.846267866
2015-01-11 15:00:00,0.9,0.92360512
2015-01-11 16:00:00,0.9,0.786327128
2015-01-11 17:00:00,0.9,0.663225824
2015-01-11 18:00:00,0.9,0.895204924
2015-01-11 19:00:00,0.9,0.979662049
2015-01-11 20:00:00,0.9,0.999323881
2015-01-11 21:00:00,0.9,0.998729412
2015-01-11 22:00:00,0.9,0.999389804
2015-01-11 23:00:00,0.9,0.951462998
2015-01-12 00:00:00,0.9,0.952340057
2015-01-12 01:00:00,0.9,0.947294722
2015-01-12 02:00:00,0.886,0.836860408
2015-01-12 03:00:00,0.766,0.574699003
2015-01-12 04:00:00,0.409,0.328551662
2015-01-12 05:00:00,0.21,0.354972201
2015-01-12 06:00:00,0.031,0.110814275
2015-01-12 07:00:00,0.056,0.065798396
2015-01-12 08:00:00,0.159,0.091737677
2015-01-12 09:00:00,0.058,0.05747737
2015-01-12 10:00:00,0.055,0.041413815
2015-01-12 11:00:00,0.036,0.038508319
2015-01-12 12:00:00,0.097,0.078601735
2015-01-12 13:00:00,0.19,0.071185679
2015-01-12 14:00:00,0.194,0.07840858
2015-01-12 15:00:00,0.382,0.115253123
2015-01-12 16:00:00,0.271,0.091797262
